pid	devicetype	brand	model	fccid	availability	whereavailable	supportedsincecommit	supportedsincerel	supportedcurrentrel	target	subtarget	packagearchitecture	bootloader	cpu	cpucores	cpumhz	flashmb	rammb	ethernet100mports	ethernetgbitports	switch	vlan	modem	commentsnetworkports	wlanhardware	wlan24ghz	wlan50ghz	wlancomments	wlandriver	detachableantennas	bluetooth	usbports	sataports	commentsusbsataports	videoports	audioports	phoneports	commentsavports	serial	serialconnectionparameters	jtag	ledcount	buttoncount	gpios	powersupply	devicepage	forumsearch	gitsearch	wikideviurl	oemdevicehomepageurl	firmwareoemstockurl	firmwareopenwrtsnapshotinstallurl	firmwareopenwrtsnapshotupgradeurl	installationmethods	commentinstallation	recoverymethods	commentrecovery	picture	comments
91120	WiFi AP	Devolo	WiFi pro 1750e	https://fcc.io/NDD/9576791401	Available 2019	amazon.de, office-partner.de, grooves.land	https://git.openwrt.org/?p=openwrt/openwrt.git;a=commit;h=1c2f7b511514d43d8a826b26e09817b2750a2bf4	-	snapshot	ath79	generic	mips_24kc	U-Boot	Qualcomm Atheros QCA9558	1	720	16	128	-	2	Atheros AR8035, Atheros AR8033	Yes	-	LAN1 (PoE out), LAN 2 (PoE in)	Qualcomm Atheros QCA9880	b/g/n	a/n/ac	3T3R MIMO (2.4Ghz 450Mbps, 5Ghz 1299Mbps, 3x RP-SMA 2dBi dual-band antennas)	ath9k	3	-	1x 2.0	-		-	-	-		Yes	115200 / 8N1	No	2	3	-	12 VDC, 4.0 A, PoE 802.3at	toh:devolo:devolo_wifi_pro_1750e	Devolo WiFi pro 1750e	Devolo WiFi pro 1750e	https://wikidevi.com/wiki/Edimax_EW-7679WAC	http://web.archive.org/web/20170630105124/http://www.devolo.com:80/en/Business-Solutions/Wi-Fi-Pro/devolo-WiFi-pro-1750e	https://www.touslesdrivers.com/index.php?v_page=23&v_code=56341	NULL	http://downloads.openwrt.org/snapshots/targets/ath79/generic/openwrt-ath79-generic-devolo_dvl1750e-squashfs-sysupgrade.bin	Sysupgrade		see forum		media:devolo:devolo-wifi-pro-1750e_productpicture.jpg	External RJ45 serial port is not working, RAM is DDR2, 1x GPIO attached piezo beeper
117562	WiFi Router	Linksys	EA6350	https://fcc.io/Q87/-EA6350V3	Available 2019	amazon.com, amazon.de	https://git.openwrt.org/?p=openwrt/openwrt.git;a=commit;h=a873b292840848b67addb5be0c762d292bde33a1		snapshot	ipq40xx	generic	arm_cortex-a7_neon-vfpv4	U-Boot	Qualcomm Atheros IPQ4018	4	710	128NAND	256	-	5	Qualcomm Atheros QCA8075	Yes	-		Qualcomm Atheros IPQ4018	b/g/n	a/n/ac	2x2 MU-MIMO	ath10k	-	-	1x 3.0	-		-	-	-		Yes	115200 / 8N1	?	1	2	-	12 VDC, 2.0 A	toh:linksys:linksys_ea6350_v3	EA6350	EA6350	https://wikidevi.com/wiki/Linksys_EA6350_v3	https://www.linksys.com/p/P-EA6350/	https://www.linksys.com/gb/support-article?articleNum=148481	http://downloads.openwrt.org/snapshots/targets/ipq40xx/generic/openwrt-ipq40xx-generic-linksys_ea6350v3-squashfs-factory.bin	http://downloads.openwrt.org/snapshots/targets/ipq40xx/generic/openwrt-ipq40xx-generic-linksys_ea6350v3-squashfs-sysupgrade.bin	see git-commit		U-Boot TFTP recovery	the "mtd write" method works	media:linksys:ea6350_v3.jpg	For switching back to the original firmware, you can use the TFTP + Serial method or use the generic "MTD write" method.
185292	WiFi Router	TP-Link	Archer C2	https://fcc.io/TE7/C2V3	Available 2019	amazon.de	https://git.openwrt.org/?p=openwrt/openwrt.git;a=commit;h=9c01273e5e7b3929ad46d974685ec29de207a8de		snapshot	ath79	generic	mips_24kc	U-Boot	Qualcomm Atheros QCA9563	1	750	8	64	-	5	Qualcomm Atheros QCA8337N	Yes	-		Qualcomm Atheros QCA9887	b/g/n	a/n/ac		ath10k	-	-	-	-		-	-	-		Yes	?	?	9	2	-	12 VDC, 1.0 A		Archer C2	Archer C2	https://wikidevi.com/wiki/TP-LINK_Archer_C2_v3.x	http://?	http://?	http://downloads.openwrt.org/snapshots/targets/ath79/generic/openwrt-ath79-generic-tplink_archer-c2-v3-squashfs-factory.bin	http://downloads.openwrt.org/snapshots/targets/ath79/generic/openwrt-ath79-generic-tplink_archer-c2-v3-squashfs-sysupgrade.bin	see git-commit		unknown		media:example:genericrouter1.png	
240918	Single Board Computer	FriendlyElec	NanoPi NEO	http://?	Available 2019	friendlyarm.com, aliexpress.com, amazon.de, conrad.de	https://git.openwrt.org/?p=openwrt/openwrt.git;a=commit;h=34b153d7adc0aa9c34db75a5d324bf03c4159b4b	18.06.0	18.06.4	sunxi	cortexa7	arm_cortex-a8_vfpv3	U-Boot	Allwinner H3	4	1200	microSD	512	1	-	-	?	-		-	-	-		none	-	-	1x 2.0	-		-	other	-		Yes	?	No	2	-	more than 20	5 VDC, 2.0 A		NanoPi NEO	NanoPi NEO	NULL	http://wiki.friendlyarm.com/wiki/index.php/NanoPi_NEO	http://download.friendlyarm.com/nanopineo	http://downloads.openwrt.org/snapshots/targets/sunxi/cortexa7/openwrt-sunxi-cortexa7-sun8i-h3-nanopi-neo-ext4-sdcard.img.gz	NULL	unknown		unknown		media:example:genericrouter1.png	
302136	WiFi Router	Xiaomi	Mi Router 4Q	http://?	Available 2019	aliexpress.com, gearbest.com	https://git.openwrt.org/?p=openwrt/openwrt.git;a=commit;h=0c24b363a69d1445a280e41e5c33675be95295d1		snapshot	ath79	generic	mips_24kc	U-Boot	Qualcomm Atheros QCA9561	1	775	16	64	3	-	?	?	-		Qualcomm Atheros QCA9561	b/g/n	-		ath10k	-	-	-	-		-	-	-		Yes	115200 / 8N1	?	3	2	-	5 VDC		Mi Router 4Q	Mi Router 4Q	NULL	http://?	http://?	http://downloads.openwrt.org/snapshots/targets/ath79/generic/openwrt-ath79-generic-xiaomi_mi-router-4q-initramfs-kernel.bin	http://downloads.openwrt.org/snapshots/targets/ath79/generic/openwrt-ath79-generic-xiaomi_mi-router-4q-squashfs-sysupgrade.bin	U-Boot TFTP + serial recovery		unknown		media:example:genericrouter1.png	
312018	Travel Router	TP-Link	TL-WR802N	https://fcc.io/TE7/WR802N	Discontinued 2017	NULL	https://git.lede-project.org/?p=source.git;a=commit;h=a71a8955f20e3c3ac13323072a70362f3c9d80fd	17.01.0	18.06.4	ar71xx	tiny	mips_24kc	U-Boot	Qualcomm Atheros QCA9533-AL3A	1	550	4	32	1	-	-	?	-		Qualcomm Atheros QCA9533	b/g/n	-		ath10k	-	-	1x ?USB (power)	-		-	-	-		Yes	?	No	1	-	-	5 VDC, 0.55 A	toh:tp-link:tl-wr802n	TL-WR802N	TL-WR802N	https://wikidevi.com/wiki/TP-LINK_TL-WR802N_v1.0	http://www.tp-link.com/en/download/TL-WR802N_V1.html	http://www.tp-link.com/en/download/TL-WR802N_V1.html	http://downloads.openwrt.org/snapshots/targets/ar71xx/tiny/openwrt-ar71xx-tiny-tl-wr802n-v1-squashfs-factory.bin	http://downloads.openwrt.org/snapshots/targets/ar71xx/tiny/openwrt-ar71xx-tiny-tl-wr802n-v1-squashfs-sysupgrade.bin	U-Boot TFTP recovery	For TFTP, rename -factory image to wr802nv1_tp_recovery.bin	U-Boot TFTP recovery	For TFTP, rename -factory image to wr802nv1_tp_recovery.bin	media:example:genericrouter1.png	
343087	WiFi Router	Asus	Lyra (MAP-AC2200)	https://fcc.io/MSQ/-RTACBX00	Available 2019	amazon.com, amazon.de	https://git.openwrt.org/?p=openwrt/openwrt.git;a=commit;h=9ad3967f140bd6d08796f1ec151b753186b3eb44		snapshot	ipq40xx	generic	arm_cortex-a7_neon-vfpv4	?	Qualcomm IPQ4019	4	717	128NAND	256	-	2	Qualcomm Atheros QCA8072	Yes	-		Qualcomm Atheros QCA9886	b/g/n	a/n/ac		ath10k	-	4	-	-		-	-	-		Yes	115200 / 8N1	?	3	2	-	12 VDC, 2.0 A		Lyra (MAP-AC2200)	Lyra (MAP-AC2200)	https://wikidevi.com/wiki/ASUS_Lyra	https://www.asus.com/Networking/Lyra/	https://www.asus.com/Networking/Lyra/HelpDesk_BIOS/	http://downloads.openwrt.org/snapshots/targets/ipq40xx/generic/openwrt-ipq40xx-generic-asus_map-ac2200-initramfs-fit-uImage.itb	http://downloads.openwrt.org/snapshots/targets/ipq40xx/generic/openwrt-ipq40xx-generic-asus_map-ac2200-squashfs-sysupgrade.bin	see git-commit		unknown		media:example:genericrouter1.png	
343133	WiFi Router	I-O Data	WN-AC1167GR	http://?	Available 2019	amazon.co.jp	https://git.openwrt.org/?p=openwrt/openwrt.git;a=commit;h=f305ce5c3577005aba5b870b373e65aaf9ede3ec		snapshot	ramips	mt7620	mipsel_24kc	U-Boot	MediaTek MT7620A	1	580	8	64	-	5	MediaTek MT7530	Yes	-		MediaTek MT7620A	b/g/n	a/n/ac		mt76	-	-	-	-		-	-	-		Yes	115200 / 8N1	?	4	3	-	12 VDC		WN-AC1167GR	WN-AC1167GR	NULL	https://www.iodata.jp/product/network/wnlan/wn-ac1167gr/	https://www.iodata.jp/lib/product/w/4759.htm	http://downloads.openwrt.org/snapshots/targets/ramips/mt7620/openwrt-ramips-mt7620-iodata_wn-ac1167gr-squashfs-factory.bin	http://downloads.openwrt.org/snapshots/targets/ramips/mt7620/openwrt-ramips-mt7620-iodata_wn-ac1167gr-squashfs-sysupgrade.bin	see git-commit		unknown		media:example:genericrouter1.png	
345279	WiFi Router	I-O Data	WN-AC1600DGR	http://?	Discontinued		https://git.openwrt.org/?p=openwrt/openwrt.git;a=commit;h=93d4439454247fb3f7cc88d8ad9a7e80bb440145		snapshot	ath79	generic	mips_24kc	U-Boot	Qualcomm Atheros QCA9557	1	720	16	128	-	5	Qualcomm Atheros QCA8337N	Yes	-		Qualcomm Atheros QCA9880	b/g/n	a/n/ac		ath9k	-	-	1x 2.0	-		-	-	-		Yes	115200 / 8N1	?	6	6	-	12 VDC, 1.0 A	toh:i-o_data:i-o_data_wn-ac1600dgr	WN-AC1600DGR	WN-AC1600DGR	https://wikidevi.com/wiki/I-O_DATA_WN-AC1600DGR	https://www.iodata.jp/product/network/wnlan/wn-ac1600dgr/	https://www.iodata.jp/lib/product/w/4304.htm	http://downloads.openwrt.org/snapshots/targets/ath79/generic/openwrt-ath79-generic-iodata_wn-ac1600dgr-squashfs-factory.bin	http://downloads.openwrt.org/snapshots/targets/ath79/generic/openwrt-ath79-generic-iodata_wn-ac1600dgr-squashfs-sysupgrade.bin	U-Boot TFTP + serial recovery		U-Boot TFTP + serial recovery		media:example:genericrouter1.png	
375955	Single Board Computer	Sinovoip	Banana Pi M2 Plus	http://?	Available 2019	aliexpress, tme.eu	https://git.openwrt.org/?p=openwrt/openwrt.git;a=commit;h=d5f615bf2a0434c15d13943b566d46f25da579bb		snapshot	sunxi	cortexa7	arm_cortex-a8_vfpv3	U-Boot	Allwinner H3	4	1000	8192	1024	-	1	-	Yes	-		Ampak AP6212	b/g/n	-	Broadcom 43430a0 chip	brcmfmac	1	4	2x 2.0	-		HDMI	HDMI	-		Yes	115200 / 8N1	?	-	?	more than 20	5 VDC, 2.0 A	toh:sinovoip:sinovoip_banana_pi_m2_plus	Banana Pi M2 Plus	Banana Pi M2 Plus	https://wikidevi.com/wiki/Banana_Pi_BPI_M2%2B	http://www.banana-pi.org/m2plus.html	http://wiki.banana-pi.org/Banana_Pi_BPI-M2%2B#Image_Release	NULL	http://downloads.openwrt.org/snapshots/targets/sunxi/cortexa7/openwrt-sunxi-cortexa7-sun8i-h3-bananapi-m2-plus-squashfs-sdcard.img.gz	see devicepage		see devicepage		media:example:genericrouter1.png	
